visitorid,itemid,rating
172,10034,115
172,465522,123
186,49029,112
264,161949,112
264,459835,111
419,19278,112
539,94371,124
627,414182,114
795,207825,110
914,382946,111
964,430113,116
1032,243949,113
1765,330469,123
2019,393144,120
2019,445559,117
2133,137697,111
2216,308764,113
2242,402047,111
2468,181948,112
2519,413125,121
2598,183087,121
2646,360487,114
2807,240440,103
3048,331032,110
3104,342086,113
3104,346661,120
3171,339976,112
3174,45420,111
3251,97661,111
3258,19278,138
3258,353548,124
3404,7642,115
3465,8523,111
3465,114485,111
3465,434048,110
3581,220793,111
3847,388002,112
3896,407518,111
3926,187379,113
3926,323347,110
3926,335331,102
3936,172894,113
4061,69754,112
4101,104752,112
4101,170353,111
4101,228066,111
4101,400859,112
4113,231807,119
4115,98467,123
4241,340794,111
4368,258208,118
4537,166106,234
4606,75961,112
4606,112065,111
4694,138314,111
4694,371724,110
4899,46156,114
5042,127634,223
5042,138443,111
5061,102209,111
5117,241061,114
5207,37174,119
5423,32937,111
5703,186214,114
5703,295495,110
5939,379294,111
6029,294267,115
6190,7943,111
6390,158666,110
6431,360922,112
6468,65273,115
6468,108343,111
6468,289096,111
6468,378760,111
6618,49967,112
6699,51354,119
6699,73602,115
6699,210087,112
6699,280375,112
6750,461190,117
6855,465522,112
6911,382437,111
6952,19789,110
6952,108924,112
6952,461686,112
6955,83837,111
6958,130771,182
6958,184011,361
6958,187200,301
6958,339822,343
6958,374855,258
6958,431417,395
7016,32591,113
7016,411039,110
7244,175662,111
7330,248440,111
7633,7943,114
7773,414831,101
7969,88032,119
8043,211418,112
8043,350384,112
8083,235639,116
8314,176419,101
8411,99296,113
8411,392689,111
8516,248569,111
8670,358594,120
8731,16633,112
8731,305675,111
8876,40990,111
8914,214332,141
9079,224862,111
9079,392618,112
9099,330786,113
9145,59399,111
9145,408059,121
9145,425458,121
9155,431290,110
9235,62290,101
9498,74117,112
9519,416530,111
10023,23762,111
10023,51969,111
10248,232917,111
10443,96233,111
10539,256513,111
10560,257040,101
10685,83168,111
11172,314579,112
11209,131609,111
11209,185741,116
11209,272649,121
11209,387913,112
11248,29196,111
11248,409804,212
11287,90293,112
11333,166100,112
11333,403302,117
11438,82896,112
11462,179271,118
11508,186228,113
12046,205663,190
12067,144587,102
12134,180182,110
12148,157438,113
12148,193554,112
12148,428040,112
12295,86452,113
12356,145721,113
12506,232085,222
12579,225261,111
12579,371381,101
13151,179535,111
13151,265966,111
13151,339808,110
13240,399192,111
13455,48030,114
13455,381766,222
13764,8096,113
13833,60159,113
13833,182131,112
14618,157770,110
14796,284663,122
14885,375332,111
14903,206241,113
15218,66083,101
15299,466008,114
15318,344850,111
15653,371985,226
15852,182665,111
16158,136860,113
16357,332870,113
16655,224481,111
16655,308438,112
16766,273822,111
16945,383001,111
16975,413241,111
17028,258155,113
17067,354714,115
17476,4553,112
17476,37403,111
17476,84653,121
17476,137038,113
17476,382130,120
17476,437441,111
17476,457705,121
17569,229749,111
17591,224182,116
17591,458140,111
17629,192875,111
17629,230397,122
17676,546,112
17676,869,113
17676,12905,111
17676,25655,110
17676,37930,111
17676,63543,112
17676,69917,111
17676,83103,101
17676,114735,111
17676,119267,111
17676,125399,110
17676,150797,111
17676,158666,112
17676,164872,111
17676,171031,111
17676,174947,111
17676,176363,111
17676,187119,111
17676,188051,113
17676,190732,112
17676,196659,111
17676,204790,111
17676,219512,112
17676,221329,112
17676,231482,111
17676,236302,111
17676,237952,111
17676,245342,133
17676,253024,111
17676,270383,113
17676,278943,111
17676,295184,111
17676,298056,111
17676,319900,110
17676,341701,112
17676,386324,111
17676,399796,111
17676,400568,112
17676,436217,111
17676,441852,112
17676,443931,111
17676,459546,111
17746,440912,111
17800,387780,111
17857,152100,112
17970,415562,112
18024,228644,105
18029,352705,110
18032,277504,111
18060,56100,127
18195,398579,122
18197,317376,115
18424,77640,121
18424,222697,127
18573,44172,111
18573,315911,112
18573,416017,113
18688,338407,111
19052,273104,113
19206,288340,121
19268,244819,111
19500,355994,110
19506,166553,128
19512,272880,101
19832,405290,114
19967,242245,112
20099,174185,106
20167,136815,124
20389,297858,113
20815,396697,112
20984,84595,115
21048,462461,112
21070,384470,114
21079,60323,111
21302,171814,113
21574,165789,118
21610,44986,111
21610,122412,112
21712,16344,123
21712,153874,113
21712,268006,112
21712,349470,111
21712,372617,112
21712,395273,112
21976,343468,117
22079,106786,112
22090,205566,112
22276,427360,118
